author,title,description,url,urlToImage,publishedAt,content
MarketBeat News,Apple Inc. (NASDAQ:AAPL) Shares Sold by Argonautica Private Wealth Management Inc.,"Argonautica Private Wealth Management Inc. lessened its holdings in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 8.0% in the fourth quarter, according to its most recent filing with the SEC. The firm owned 70,398 shares of the iPhone maker’s stock afte…",https://www.etfdailynews.com/2024/05/29/apple-inc-nasdaqaapl-shares-sold-by-argonautica-private-wealth-management-inc/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/apple-inc-logo-1200x675.png&w=240&h=240&zc=2,2024-05-29T09:04:47Z,"Argonautica Private Wealth Management Inc. lessened its holdings in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 8.0% in the fourth quarter, according to its most recent filing with the SEC. T… [+7254 chars]"
MarketBeat News,Cornerstone Capital Inc. Sells 905 Shares of Apple Inc. (NASDAQ:AAPL),"Cornerstone Capital Inc. trimmed its holdings in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 1.7% in the fourth quarter, HoldingsChannel reports. The institutional investor owned 51,606 shares of the iPhone maker’s stock after selling 905 shares durin…",https://www.etfdailynews.com/2024/05/29/cornerstone-capital-inc-sells-905-shares-of-apple-inc-nasdaqaapl/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/apple-inc-logo-1200x675.png&w=240&h=240&zc=2,2024-05-29T09:04:46Z,"Cornerstone Capital Inc. trimmed its holdings in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 1.7% in the fourth quarter, HoldingsChannel reports. The institutional investor owned 51,606 share… [+6952 chars]"
MarketBeat News,Apple Inc. (NASDAQ:AAPL) Holdings Increased by KFA Private Wealth Group LLC,"KFA Private Wealth Group LLC grew its stake in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 3.1% during the fourth quarter, according to its most recent filing with the Securities and Exchange Commission. The institutional investor owned 27,656 shares …",https://www.etfdailynews.com/2024/05/29/apple-inc-nasdaqaapl-holdings-increased-by-kfa-private-wealth-group-llc/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/apple-inc-logo-1200x675.png&w=240&h=240&zc=2,2024-05-29T09:04:46Z,"KFA Private Wealth Group LLC grew its stake in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 3.1% during the fourth quarter, according to its most recent filing with the Securities and Exchange… [+7274 chars]"
MarketBeat News,Blodgett Wealth Advisors LLC Decreases Stock Position in Apple Inc. (NASDAQ:AAPL),"Blodgett Wealth Advisors LLC lowered its holdings in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 0.8% during the 4th quarter, according to the company in its most recent filing with the SEC. The fund owned 70,547 shares of the iPhone maker’s stock aft…",https://www.etfdailynews.com/2024/05/29/blodgett-wealth-advisors-llc-decreases-stock-position-in-apple-inc-nasdaqaapl/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/apple-inc-logo-1200x675.png&w=240&h=240&zc=2,2024-05-29T09:04:46Z,"Blodgett Wealth Advisors LLC lowered its holdings in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 0.8% during the 4th quarter, according to the company in its most recent filing with the SEC. … [+7034 chars]"
MarketBeat News,Apple Inc. (NASDAQ:AAPL) Shares Acquired by Headlands Technologies LLC,"Headlands Technologies LLC raised its position in Apple Inc. (NASDAQ:AAPL – Free Report) by 589.0% during the fourth quarter, according to its most recent filing with the SEC. The firm owned 221,926 shares of the iPhone maker’s stock after purchasing an addit…",https://www.etfdailynews.com/2024/05/29/apple-inc-nasdaqaapl-shares-acquired-by-headlands-technologies-llc/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/apple-inc-logo-1200x675.png&w=240&h=240&zc=2,2024-05-29T09:04:46Z,"Headlands Technologies LLC raised its position in Apple Inc. (NASDAQ:AAPL – Free Report) by 589.0% during the fourth quarter, according to its most recent filing with the SEC. The firm owned 221,926 … [+7064 chars]"
MarketBeat News,Darrow Company Inc. Acquires New Position in Apple Inc. (NASDAQ:AAPL),"Darrow Company Inc. bought a new position in Apple Inc. (NASDAQ:AAPL – Free Report) in the fourth quarter, according to the company in its most recent 13F filing with the SEC. The fund bought 2,219 shares of the iPhone maker’s stock, valued at approximately $…",https://www.etfdailynews.com/2024/05/29/darrow-company-inc-acquires-new-position-in-apple-inc-nasdaqaapl/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/apple-inc-logo-1200x675.png&w=240&h=240&zc=2,2024-05-29T09:04:46Z,"Darrow Company Inc. bought a new position in Apple Inc. (NASDAQ:AAPL – Free Report) in the fourth quarter, according to the company in its most recent 13F filing with the SEC. The fund bought 2,219 s… [+7345 chars]"
MarketBeat News,Apple Inc. (NASDAQ:AAPL) Shares Sold by Boyd Watterson Asset Management LLC OH,"Boyd Watterson Asset Management LLC OH lowered its holdings in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 0.7% in the fourth quarter, according to the company in its most recent filing with the Securities and Exchange Commission (SEC). The firm owned…",https://www.etfdailynews.com/2024/05/29/apple-inc-nasdaqaapl-shares-sold-by-boyd-watterson-asset-management-llc-oh/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/apple-inc-logo-1200x675.png&w=240&h=240&zc=2,2024-05-29T08:18:42Z,"Boyd Watterson Asset Management LLC OH lowered its holdings in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 0.7% in the fourth quarter, according to the company in its most recent filing with … [+7343 chars]"
MarketBeat News,Bahl & Gaynor Inc. Decreases Stock Position in Apple Inc. (NASDAQ:AAPL),"Bahl & Gaynor Inc. reduced its position in Apple Inc. (NASDAQ:AAPL – Free Report) by 1.2% in the fourth quarter, according to the company in its most recent filing with the Securities and Exchange Commission (SEC). The fund owned 872,488 shares of the iPhone …",https://www.etfdailynews.com/2024/05/29/bahl-gaynor-inc-decreases-stock-position-in-apple-inc-nasdaqaapl/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/apple-inc-logo-1200x675.png&w=240&h=240&zc=2,2024-05-29T08:18:41Z,"Bahl &amp; Gaynor Inc. reduced its position in Apple Inc. (NASDAQ:AAPL – Free Report) by 1.2% in the fourth quarter, according to the company in its most recent filing with the Securities and Exchang… [+6810 chars]"
Roxane Nojac,Taiwan & TSMC: Linked fate,"(marketscreener.com) Taiwan's stock market is doing very well. With the exception of the Nasdaq, it is outperforming its major global peers, be they American, Chinese or European, with TSMC as a main engine. https://www.marketscreener.com/news/latest/Taiwan-T…",https://www.marketscreener.com/news/latest/Taiwan-TSMC-Linked-fate-46849351/,https://www.zonebourse.com/images/ImagesTagged/zbimg_3178447_800.png,2024-05-29T08:07:34Z,"Since the artificial intelligence craze invaded the markets, Taipei has been experiencing a massive and unusual influx of capital. Eager to capitalize on the strength and prospects of Taiwan Semicond… [+1575 chars]"
Adam Oram,Memorial Day Sales Aren't Over Yet: This Could Be the Final Day for These Huge Discounts - CNET,"We're approaching the end of the Memorial Day sales, so act fast to save big.",https://www.cnet.com/deals/best-memorial-day-sales-2024-05-29/,https://www.cnet.com/a/img/resize/b2252f5677e77b9e0eb7dd3829d7cc6d77ca3af6/hub/2024/05/22/d0511dd0-2137-4eaf-823f-8e6a76d2575c/memorial-day.png?auto=webp&fit=crop&height=675&width=1200,2024-05-29T08:02:00Z,"While Memorial Day might be over, that doesn't mean the deals are all over, at least not quite yet. That's because you can still get some pretty decent discounts on everything from TVs and smart home… [+50629 chars]"
Nick Cawley,Market Latest – Nvidia (NVDA) Surge Helps the Nasdaq 100 Post a Fresh Record High,"AI mega-stock Nvidia leapt by 7% in US trade, helping push the Nasdaq 100 to a fresh record closing high. The US dollar remains subdued ahead of Friday’s US inflation release.",https://www.dailyfx.com/news/market-latest-nvidia-nvda-surge-helps-the-nasdaq-100-post-a-fresh-record-high-20240529.html,https://a.c-dn.net/b/1TUQqX/bullish+chart.png,2024-05-29T07:59:44Z,"Nvidia (NVDA), Nasdaq 100, US Dollar Charts and Analysis
<ul><li>Nvidia now worth USD2.8 trillion after latest rally.</li><li>US dollar and gold tread water ahead of Fridays Core PCE release.</li></… [+2575 chars]"
MarketBeat News,Hyatt Hotels Co. (NYSE:H) Given Average Rating of “Hold” by Analysts,"Shares of Hyatt Hotels Co. (NYSE:H – Get Free Report) have been assigned an average rating of “Hold” from the sixteen analysts that are currently covering the stock, Marketbeat.com reports. Ten research analysts have rated the stock with a hold recommendation…",https://www.etfdailynews.com/2024/05/29/hyatt-hotels-co-nyseh-given-average-rating-of-hold-by-analysts/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/hyatt-hotels-co-logo-1200x675.png?v=20221109133308&w=240&h=240&zc=2,2024-05-29T07:24:42Z,"Shares of Hyatt Hotels Co. (NYSE:H – Get Free Report) have been assigned an average rating of “Hold” from the sixteen analysts that are currently covering the stock, Marketbeat.com reports. Ten resea… [+6071 chars]"
Reuters,AI darling Nvidia's market value surges closer to Apple,"Nvidia's shares surged 6% to a record high, nearing Apple's market value of $2.9 trillion. The AI chipmaker's stock hit $1,128, up 8% during the session, driven by strong second-quarter revenue forecasts and a stock split.",https://economictimes.indiatimes.com/markets/stocks/news/ai-darling-nvidias-market-value-surges-closer-to-apple/articleshow/110517976.cms,"https://img.etimg.com/thumb/msid-110518069,width-1200,height-630,imgsize-102804,overlay-etmarkets/photo.jpg",2024-05-29T03:00:36Z,"Nvidia's shares rallied around 6% to hit a record high on Tuesday, leaving the AI chipmaker's stock market value about $100 billion away from overtaking Apple in a major reshuffle of Wall street's bi… [+2516 chars]"
Mitchell Lawler,Record highs! Is it too late to buy the Nasdaq 100 (NDQ) ETF on the ASX?,"AI mania is taking the tech-centric index to new heights. Should investors hold off on buying into the local Nasdaq ETF?
The post Record highs! Is it too late to buy the Nasdaq 100 (NDQ) ETF on the ASX? appeared first on The Motley Fool Australia.",https://www.fool.com.au/2024/05/29/record-highs-is-it-too-late-to-buy-the-nasdaq-100-ndq-etf-on-the-asx/,https://www.fool.com.au/wp-content/uploads/2023/09/top-10-1200x675.jpg,2024-05-29T02:31:23Z,"While we were asleep last night, a momentous milestone occurred at the other end of the planet. 
Wall Street's tech cathedral, the Nasdaq Composite Index (NASDAQ: .IXIC), firmly planted its flag bey… [+2258 chars]"
japantimes.co.jp,AI darling Nvidia's market value surges closer to Apple,"Nvidia's shares rallied around 6% to hit a record high on Tuesday, leaving the AI chipmaker's stock market value about $100 billion away from overtaking Apple in a major reshuffle of Wall Street's biggest players. Last trading at $1,128, Nvidia's market capit…",https://biztoc.com/x/9166df07b1f82963,https://c.biztoc.com/p/9166df07b1f82963/s.webp,2024-05-29T02:06:09Z,"Nvidia's shares rallied around 6% to hit a record high on Tuesday, leaving the AI chipmaker's stock market value about $100 billion away from overtaking Apple in a major reshuffle of Wall Street's bi… [+227 chars]"
TipRanks,"At 67x Earnings, Chipotle Stock (NYSE:CMG) Is a Market Anomaly","Chipotle Mexican Grill (NYSE:CMG) owns and operates over 3,400 Mexican restaurants across five different countries. Investors have bid up its shares to 67x...",https://finance.yahoo.com/news/67x-earnings-chipotle-stock-nyse-015110770.html,https://media.zenfs.com/en/tipranks_452/58a6c7deff6a17ff0f140f565f3ea032,2024-05-29T01:51:10Z,"Chipotle Mexican Grill (NYSE:CMG) owns and operates over 3,400 Mexican restaurants across five different countries. Investors have bid up its shares to 67x earnings, touting the companys growth, driv… [+5209 chars]"
tipranks.com,Gains as iPhone Shipments Soar in China - TipRanks.com,"Apple (NASDAQ:AAPL) stock was trading 2.4% higher at the time of writing. The upside comes after AAPL witnessed a significant rebound in China, with iPhone shipments jumping 52% year-over-year in April, according to Bloomberg. This marks two consecutive month…",https://biztoc.com/x/045ffbea4c7388e2,https://c.biztoc.com/p/045ffbea4c7388e2/og.webp,2024-05-29T01:30:06Z,"Apple (NASDAQ:AAPL) stock was trading 2.4% higher at the time of writing. The upside comes after AAPL witnessed a significant rebound in China, with iPhone shipments jumping 52% year-over-year in Apr… [+272 chars]"
Reuters,"Nasdaq closes above 17,000; S&P 500 slightly higher, Dow down","Nasdaq crossed 17,000 for the first time boosted by Nvidia, while S&P 500 closed higher and Dow lower as Treasury yields rose.",https://economictimes.indiatimes.com/markets/stocks/news/nasdaq-closes-above-17000-sp-500-slightly-higher-dow-down/articleshow/110516640.cms,"https://img.etimg.com/thumb/msid-110516654,width-1200,height-630,imgsize-170576,overlay-etmarkets/photo.jpg",2024-05-29T01:29:47Z,"The Nasdaq crossed 17,000 for the first time ever on Tuesday, boosted by gains in Nvidia, while the S&amp;P 500 closed barely higher and the Dow ended lower as Treasury yields rose.Nvidia jumped 7% a… [+3090 chars]"
finance.yahoo.com,First Solar Stock (NASDAQ:FSLR): Cheaply Valued and Benefiting from AI,"First Solar (NASDAQ:FSLR), a global solar energy solutions provider headquartered in Arizona, is a cheaply valued AI beneficiary that had been ignored by the market until recently. FSLR stock soared more than 30% between May 20 and 22 based on two pieces of n…",https://biztoc.com/x/f0aacf9e35d1ecd2,https://c.biztoc.com/p/f0aacf9e35d1ecd2/s.webp,2024-05-29T01:08:05Z,"First Solar (NASDAQ:FSLR), a global solar energy solutions provider headquartered in Arizona, is a cheaply valued AI beneficiary that had been ignored by the market until recently. FSLR stock soared … [+277 chars]"
Oliver Haslam,"Best Apple Memorial Day Sales: You Can Still Score Savings on iPads, Macs, AirPods and More - CNET",Grab these popular devices before these deals disappear.,https://www.cnet.com/deals/best-apple-memorial-day-sales-2024-05-28/,https://www.cnet.com/a/img/resize/adc47a1f7daf76132323ac1e6ce799af1b5c1eaa/hub/2024/05/23/5b0b434c-60c6-4176-a8aa-82e12fe7bf4c/apple-memorial-day-deals.jpg?auto=webp&fit=crop&height=675&width=1200,2024-05-28T22:45:00Z,"Memorial Day has come and gone, but if you've been debating when to splurge on new Apple products, now is as good a time as any. Apple itself may not have the price cuts you're looking for, but other… [+2472 chars]"
Bloomberg News,Asian Stocks to Trend Lower After Treasuries Drop: Markets Wrap,"Stocks in Asia were mostly set to decline after a US session dominated by a sell-off in bonds, with traders also weighing mixed economic data and remarks from Federal Reserve speakers for clues on the policy outlook.",https://financialpost.com/pmn/business-pmn/asian-stocks-to-trend-lower-after-treasuries-drop-markets-wrap,https://smartcdn.gprod.postmedia.digital/financialpost/wp-content/uploads/2024/05/us-core-inflation-seen-cooling-a-touch-feds-preferred-gauge.jpg,2024-05-28T22:38:05Z,"Stocks in Asia were mostly set to decline after a US session dominated by a sell-off in bonds, with traders also weighing mixed economic data and remarks from Federal Reserve speakers for clues on th… [+8742 chars]"
Zaheer Kachwala,AI darling Nvidia's market value surges closer to Apple,"Nvidia's shares rallied around 6% to hit a record high on Tuesday, leaving the AI chipmaker's stock market value about $100 billion away from overtaking Apple in a major reshuffle of Wall Street's biggest players.",https://www.japantimes.co.jp/business/2024/05/29/companies/ai-nvidia-value-apple/,https://www.japantimes.co.jp/japantimes/uploads/images/2024/05/29/399748.JPG,2024-05-28T22:38:00Z,"Nvidia's shares rallied around 6% to hit a record high on Tuesday, leaving the AI chipmaker's stock market value about $100 billion away from overtaking Apple in a major reshuffle of Wall Street's bi… [+357 chars]"
finance.yahoo.com,Stock market today: Nasdaq hits record ahead of new inflation data,None The Nasdaq hit a record in early trading on Tuesday while other indexes were mixed. • None Markets will also digest housing data and revised GDP numbers for the first quarter. Stocks were mixed on Tuesday with the Nasdaq hitting records in early trading …,https://biztoc.com/x/ff2b2ddb46a97be2,https://c.biztoc.com/p/ff2b2ddb46a97be2/s.webp,2024-05-28T22:34:05Z,None The Nasdaq hit a record in early trading on Tuesday while other indexes were mixed.None Markets will also digest housing data and revised GDP numbers for the first quarter.Stocks were mixed on T… [+300 chars]
finance.yahoo.com,These 5 Artificial Intelligence (AI) Stocks Make Up 27.3% of the Entire S&P 500 Index,"The S&P 500 (SNPINDEX: ^GSPC) is composed of 500 stocks from 11 different sectors, including information technology, energy, financials, and real estate. While it is the most diversified of the major U.S. stock market indexes, a select few technology stocks a…",https://biztoc.com/x/43cf64505435529d,https://c.biztoc.com/p/43cf64505435529d/s.webp,2024-05-28T22:20:06Z,"The S&amp;P 500 (SNPINDEX: ^GSPC) is composed of 500 stocks from 11 different sectors, including information technology, energy, financials, and real estate. While it is the most diversified of the m… [+278 chars]"
Reuters,Musk offers factory tours to investors as he seeks support for his pay package,Musk offers factory tours to investors as he seeks support for his pay package,https://www.investing.com/news/stock-market-news/musk-offers-factory-tours-to-investors-as-he-seeks-support-for-his-pay-package-3459990,https://i-invdn-com.investing.com/news/LYNXMPEA6606G_L.jpg,2024-05-28T21:46:29Z,"By Hyunjoo Jin
SAN FRANCISCO (Reuters) - Elon Musk is offering factory tours to 15 Tesla (NASDAQ:TSLA) shareholders who vote on his $56 billion pay package at the upcoming meeting, the latest effort… [+2148 chars]"
MacDailyNews,Nvidia’s market value surges closer to Apple,"Nvidia's shares rallied around 6% to hit a record high on Tuesday, leaving the AI chipmaker's stock market value about $100 billion away…
The post Nvidia’s market value surges closer to Apple appeared first on MacDailyNews.",https://macdailynews.com/2024/05/28/nvidias-market-value-surges-closer-to-apple/,https://149359564.v2.pressablecdn.com/wp-content/uploads/2021/12/211207_stock_chart.png,2024-05-28T21:16:41Z,"Nvidia’s shares rallied around 6% to hit a record high on Tuesday, leaving the AI chipmaker’s stock market value about $100 billion away from overtaking Apple in a significant reshuffling of Wall Str… [+1615 chars]"
luke.hughes@futurenet.com (Luke Hughes),"Nvidia CEO net worth soars to new high — but Jensen Huang is still some way behind Bill Gates, Jeff Bezos and Elon Musk","Huang claims his company is ‘shaking up computing’, but capitalism, clearly, is going as planned.",https://www.techradar.com/pro/nvidia-ceo-net-worth-soars-to-new-high-but-jensen-huang-is-still-some-way-behind-bill-gates-jeff-bezos-and-elon-musk,https://cdn.mos.cms.futurecdn.net/m3ESE7Xy2s54PQtLswoLgn-1200-80.jpg,2024-05-28T21:16:00Z,"In terrific news for brand defenders everywhere, Jensen Huang, Chief Executive Officer (CEO) of computer hardware manufacturer Nvidia, has seen his net worth spiral from $3 billion to $90 billion ove… [+1918 chars]"
investorplace.com,"If You Can Only Buy One Penny Stock in May, It Better Be One of These 3 Names",Here are just a few top penny stocks to buy and hold long term Penny stocks carry a great deal of risk. It’s why investors are often told to steer clear of them. Many penny stocks typically trade over the counter and rarely on a major exchange. And about 90% …,https://biztoc.com/x/17a14eb6696c6802,https://c.biztoc.com/p/17a14eb6696c6802/s.webp,2024-05-28T21:00:09Z,Here are just a few top penny stocks to buy and hold long termPenny stocks carry a great deal of risk. Its why investors are often told to steer clear of them.Many penny stocks typically trade over t… [+293 chars]
finance.yahoo.com,"Stock market today: Nvidia, Nasdaq reach record highs as AI rally continues","The tech-heavy Nasdaq Composite (^IXIC) reached a new high on Tuesday, breaching 17,000 for the first time as AI darling Nvidia (NVDA) continued its post-earnings tear to also reach a record of $1,140 a share. The benchmark S&P 500 (^GSPC) finished the day ju…",https://biztoc.com/x/1852a4da474452c0,https://c.biztoc.com/p/1852a4da474452c0/og.webp,2024-05-28T20:50:07Z,"The tech-heavy Nasdaq Composite (^IXIC) reached a new high on Tuesday, breaching 17,000 for the first time as AI darling Nvidia (NVDA) continued its post-earnings tear to also reach a record of $1,14… [+296 chars]"
Lindsay Landis,"Classic Strawberry Jam, 3 Ways (Old Fashioned, Regular Pectin, and Low-Sugar Pectin)","Homemade strawberry jam is perfect in its simplicity, bright and sweet and bursting with strawberry flavor, no matter if you water-bath process it for shelf stable storage, refrigerate or freeze it, or eat it straight out of the jar with a spoon. This post is…",https://www.loveandoliveoil.com/2024/05/classic-strawberry-jam-3-ways.html,https://www.loveandoliveoil.com/wp-content/uploads/2024/05/classic-strawberry-jam-FEAT.jpg,2024-05-28T20:45:19Z,"Homemade strawberry jam is perfect in its simplicity, bright and sweet and bursting with strawberry flavor, no matter if you water-bath process it for shelf stable storage, refrigerate or freeze it, … [+30762 chars]"
